"Nombre","Especie","Familia","Orden","Clase","Habitat","Dieta","Gestacion","Numero de crias","Vida"
"Alcaraván del Cabo","Burhinus capensis","Burhinidae","Charadriiformes","Aves","Vive en ambientes de sabana, en zonas herbáceas, semidesérticas o rocosas, cerca de lechos de los ríos, también se le encuentra en zonas urbanas.","Omnívora a base de semillas, insectos, pequeños mamíferos y pequeños reptiles, cangrejos e incluso ranas.","26-27 días.","1-3","Alrededor de 15 años."
"Antílope acuático","Kobus ellipsiprymnus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","Habita zonas de sabana en las que prefiere llanuras de herbazal próximas a fuentes de agua.","El kobo es una animal muy dependiente del agua, se alimenta de una gran variedad de herbáceas de diferentes medidas de longitud. Su dieta es muy rica en proteínas.","Alrededor de 270-285 días.","1","18 años."
"Ave martillo","Scopus umbretta","Scopidae","Pelicaniformes o Ciconiiformes","Aves","Viven en las orillas de lagos ríos y estuarios de todas las zonas de humedales, incluidas las zonas agrícolas, así como en las sabanas y bosques.","Consiste principalmente en anfibios (especialmente Xenopus spp.) y pequeños peces, así como crustáceos, gusanos e insectos.","28-30 días.","3-7 huevos.","Sin determinar."
"Avestruz","Struthio camelus","Struthionidae","Struthioniformes","Aves","Vive en zonas de sabana, en estepas y en desiertos y zonas áridas.","Se alimenta principalmente de hierbas, tallos duros, semillas, flores y frutos, ocasionalmente también de carroña, insectos y pequeños vertebrados. Engulle piedras y otras sustancias duras para ayudar a la digestión.","42-45 días.","15","30-40 años."
"Blesbok","Damaliscus pygargus phillipsi","Bovidae
 Antilopinae","Artiodactyla","Mammalia","En la sabana, en zonas de herbazales y llanuras de pastos.","Herbívora a base principalmente de gramíneas del género Themeda (en varias fases de crecimiento) y también de los géneros Eragrostis y Chloromelas.","Alrededor de 240 días.","1","23 años."
"Cebra de Grant","Equus burchelli boehmi","Equidae","Perissodactyla","Mammalia","Sabana y llanuras herbáceas desde el nivel del mar hasta altitudes de 4300 metros como en el monte Kenia. Como las cebras de Grant necesitan beber diariamente, su hábitat está restringido a zonas con distancia a fuentes de agua a no más de medio día de camino.","Pasto de baja calidad, tallos duros y, en ocasiones, hojas o cortezas de árboles y arbustos, requieren de una gran cantidad de alimento por lo que no es raro que pasen en torno a 20 horas al día pastando.","360-370 días.","1","38-40 años."
"Cerceta del Cabo","Anas capensis","Anatidae","Anseriformes","Aves","Generalmente vive en lagos salinos de aguas superficiales, humedales salobres temporales o permanentes, ríos y en tierras de inundación, también en depósitos y estanques artificiales, en zonas costeras, estuarios, lagunas o marismas.","Omnívora, se alimenta de tallos, hojas y semillas de plantas acuáticas, así como de insectos acuáticos, crustáceos y renacuajos.","25 días.","5-11","20-26 años."
"Cigüeña de Abdim","Ciconia abdimii","Ciconiidae","Ciconiiformes","Aves","Sabanas y herbazales con zonas de agua cerca.","Grandes insectos, principalmente langostas y orugas, ocasionalmente también se alimenta de pequeños reptiles, anfibios, ratones, cangrejos y huevos.","30-33 días.","2-3 huevos.","20 años."
"Damán roquero","Procavia capensis","Procaviidae","Hyracoidea","Mammalia","Se encuentran generalmente en hábitats áridos de sabanas, bosques de matorral y desiertos, en los que ocupa ambientes rocosos, como los Kopjes, que presenten una cierta cobertura vegetal y en los que haya grietas y cavidades que usan como refugio. Aunque no excavan madrigueras puede ocupar madrigueras abandonadas, como las de oricteropo o las de suricatas.","Incluye una gran variedad de hierbas y arbustos, prefieren los brotes, capullos, frutas y bayas, ocasionalmente también se alimentan de corteza de árbol.","De 212 a 240 días.","1-6","Alrededor de 12 años."
"Dik-dik de Kirk","Madoqua kirkii","Bovidae
 Antilopinae","Artiodactyla","Mammalia","Habita zonas áridas de matorral espeso que no se extienden mucho en la sabana y donde además de alimentarse, puede esconderse. No necesitan mucha agua.","Herbívora, a base de materia vegetal fácilmente digerible y con poca cantidad de fibra. El 80% de su dieta consiste en hojas de árboles y arbustos, el 17% procede de pastos, y el resto de hierbas y juncos.","Alrededor de 170 días.","1","17 años."
